Rank,Games_Career,Games_Team,Date,Team,Home/Away,Opp,Result,Games_Started,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Home/Away_num,Result_type,Score,Team_Score,Opponent_Score,Win_lose_num,Games_Started_num,Games_Started_str
12.0,299.0,12.0,2024-11-12,POR,Home,MIN,"W, 122-108",,25:15:00,4.0,10.0,0.4,3.0,6.0,0.5,1.0,4.0,0.25,0.55,6.0,6.0,1.0,0.0,4.0,4.0,5.0,1.0,1.0,1.0,2.0,17.0,16.2,5.0,1,W, 122-108,122,108,1,0,No
13.0,300.0,13.0,2024-11-13,POR,Home,MIN,"W, 106-98",,18:24,1.0,5.0,0.2,1.0,2.0,0.5,0.0,3.0,0.0,0.3,4.0,4.0,1.0,0.0,6.0,6.0,1.0,1.0,0.0,3.0,2.0,7.0,3.6,15.0,1,W, 106-98,106,98,1,0,No
14.0,301.0,14.0,2024-11-17,POR,Home,ATL,"W, 114-110",,25:17:00,4.0,8.0,0.5,2.0,4.0,0.5,2.0,4.0,0.5,0.625,2.0,2.0,1.0,3.0,5.0,8.0,4.0,2.0,1.0,1.0,1.0,12.0,15.7,1.0,1,W, 114-110,114,110,1,0,No
15.0,302.0,15.0,2024-11-20,POR,Away,OKC,"L, 99-109",,23:39,4.0,10.0,0.4,1.0,3.0,0.333,3.0,7.0,0.429,0.45,4.0,7.0,0.571,2.0,4.0,6.0,1.0,1.0,1.0,1.0,2.0,13.0,9.6,-14.0,0,L, 99-109,99,109,0,0,No
16.0,303.0,16.0,2024-11-22,POR,Away,HOU,"L, 88-116",,23:26,4.0,9.0,0.444,1.0,3.0,0.333,3.0,6.0,0.5,0.5,4.0,5.0,0.8,1.0,5.0,6.0,1.0,0.0,0.0,4.0,3.0,13.0,5.6,-16.0,0,L, 88-116,88,116,0,0,No
17.0,304.0,17.0,2024-11-23,POR,Away,HOU,"W, 104-98",,33:23:00,4.0,8.0,0.5,2.0,3.0,0.667,2.0,5.0,0.4,0.625,4.0,6.0,0.667,2.0,8.0,10.0,2.0,1.0,4.0,3.0,1.0,14.0,14.8,-2.0,0,W, 104-98,104,98,1,0,No
18.0,305.0,18.0,2024-11-25,POR,Away,MEM,"L, 98-123",,31:54:00,7.0,16.0,0.438,2.0,7.0,0.286,5.0,9.0,0.556,0.5,1.0,2.0,0.5,1.0,7.0,8.0,6.0,1.0,1.0,3.0,4.0,17.0,12.3,-11.0,0,L, 98-123,98,123,0,0,No
19.0,306.0,19.0,2024-11-27,POR,Away,IND,"L, 114-121",*,41:09:00,6.0,12.0,0.5,2.0,5.0,0.4,4.0,7.0,0.571,0.583,2.0,2.0,1.0,1.0,4.0,5.0,7.0,2.0,0.0,2.0,3.0,16.0,15.6,-4.0,0,L, 114-121,114,121,0,1,Yes
20.0,307.0,20.0,2024-11-29,POR,Home,SAC,"W, 115-106",*,36:40:00,7.0,15.0,0.467,4.0,9.0,0.444,3.0,6.0,0.5,0.6,2.0,2.0,1.0,1.0,8.0,9.0,5.0,2.0,1.0,0.0,3.0,20.0,20.4,12.0,1,W, 115-106,115,106,1,1,Yes
21.0,308.0,21.0,2024-12-01,POR,Home,DAL,"L, 131-137",,28:43:00,7.0,12.0,0.583,2.0,4.0,0.5,5.0,8.0,0.625,0.667,5.0,5.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,4.0,3.0,21.0,13.8,-16.0,1,L, 131-137,131,137,0,0,No
22.0,309.0,22.0,2024-12-03,POR,Away,LAC,"L, 105-127",,22:56,6.0,9.0,0.667,3.0,3.0,1.0,3.0,6.0,0.5,0.833,0.0,0.0,,2.0,1.0,3.0,3.0,1.0,0.0,2.0,3.0,15.0,12.7,-10.0,0,L, 105-127,105,127,0,0,No
23.0,310.0,23.0,2024-12-06,POR,Home,UTA,"L, 99-141",,23:39,2.0,9.0,0.222,1.0,5.0,0.2,1.0,4.0,0.25,0.278,1.0,2.0,0.5,1.0,4.0,5.0,2.0,0.0,1.0,1.0,2.0,6.0,2.3,-14.0,1,L, 99-141,99,141,0,0,No
24.0,311.0,24.0,2024-12-08,POR,Away,LAL,"L, 98-107",,23:17,4.0,7.0,0.571,2.0,3.0,0.667,2.0,4.0,0.5,0.714,3.0,4.0,0.75,1.0,3.0,4.0,2.0,0.0,0.0,1.0,3.0,13.0,10.1,-12.0,0,L, 98-107,98,107,0,0,No
25.0,312.0,25.0,2024-12-13,POR,Home,SAS,"L, 116-118",,26:14:00,7.0,11.0,0.636,1.0,3.0,0.333,6.0,8.0,0.75,0.682,4.0,4.0,1.0,3.0,2.0,5.0,4.0,1.0,0.0,2.0,0.0,19.0,18.6,-8.0,1,L, 116-118,116,118,0,0,No
